Country Name,Code,Income Group,WB Region,WHO Region ,Expected number of clubfoot cases - regional incidence ,population total 2022,"Birth rate, crude per 1000 2021",Expected births,Expected number of clubfoot cases - 1.24,Expected number of clubfoot cases - regional 
Malawi,MWI,Low income,Sub-Saharan Africa,Africa,1.31,20405317,32.859,670498.3113,831.417906,878.3527878
Malaysia,MYS,Upper middle income,East Asia & Pacific,Western Pacific,0.86,33938221,15.24,517218.488,641.3509252,444.8078997
Maldives,MDV,Upper middle income,South Asia,South-East Asia,1.8,523787,14.088,7379.111256,9.150097957,13.28240026
Mali,MLI,Low income,Sub-Saharan Africa,Africa,1.31,22593590,41.643,940864.8684,1166.672437,1232.532978
Malta,MLT,High income,Middle East & North Africa,Europe,1.11,531113,8.5,4514.4605,5.59793102,5.011051155
Marshall Islands,MHL,Upper middle income,East Asia & Pacific,Western Pacific,0.86,41569,19.28,801.45032,0.993798397,0.689247275
Mauritania,MRT,Lower middle income,Sub-Saharan Africa,Africa,1.31,4736139,33.194,157211.398,194.9421335,205.9469313
Mauritius,MUS,Upper middle income,Sub-Saharan Africa,Africa,1.31,1262523,10.3,13003.9869,16.12494376,17.03522284
Mexico,MEX,Upper middle income,Latin America & Caribbean,Americas,1.14,127504125,14.857,1894328.785,2348.967694,2159.534815
"Micronesia, Fed. Sts.",FSM,Lower middle income,East Asia & Pacific,Western Pacific,0.86,114164,20.777,2371.985428,2.941261931,2.039907468
Moldova,MDA,Upper middle income,Europe & Central Asia,Europe,1.11,2538894,12.432,31563.53021,39.13877746,35.03551853
Monaco,MCO,High income,Europe & Central Asia,Europe,1.11,36469,5.9,215.1671,0.266807204,0.238835481
Mongolia,MNG,Lower middle income,East Asia & Pacific,Western Pacific,0.86,3398366,21.413,72769.21116,90.23382184,62.5815216
Montenegro,MNE,Upper middle income,Europe & Central Asia,Europe,1.11,617213,11.4,7036.2282,8.724922968,7.810213302
Morocco,MAR,Lower middle income,Middle East & North Africa,Eastern Mediterranean,1.18,37457971,17.545,657200.1012,814.9281255,775.4961194
Mozambique,MOZ,Low income,Sub-Saharan Africa,Africa,1.31,32969518,36.598,1206618.42,1496.206841,1580.67013
Myanmar,MMR,Lower middle income,East Asia & Pacific,South-East Asia,1.8,54179306,17.103,926628.6705,1149.019551,1667.931607
Namibia,NAM,Upper middle income,Sub-Saharan Africa,Africa,1.31,2567012,27.439,70436.24227,87.34094041,92.27147737
Nauru,NRU,High income,East Asia & Pacific,Western Pacific,0.86,12668,27.56,349.13008,0.432921299,0.300251869
Nepal,NPL,Lower middle income,South Asia,South-East Asia,1.8,30547580,20.402,623231.7272,772.8073417,1121.817109
Netherlands,NLD,High income,Europe & Central Asia,Europe,1.11,17700982,10.2,180550.0164,223.8820203,200.4105182
New Caledonia,NCL,High income,East Asia & Pacific,Western Pacific,0.86,269220,14.3,3849.846,4.77380904,3.31086756
New Zealand,NZL,High income,East Asia & Pacific,Western Pacific,0.86,5124100,11.48,58824.668,72.94258832,50.58921448
Nicaragua,NIC,Lower middle income,Latin America & Caribbean,Americas,1.14,6948392,20.507,142490.6747,176.6884367,162.4393692
Niger,NER,Low income,Sub-Saharan Africa,Africa,1.31,26207977,45.293,1187037.902,1471.926999,1555.019652
Nigeria,NGA,Lower middle income,Sub-Saharan Africa,Africa,1.31,218541212,37.117,8111594.166,10058.37677,10626.18836
North Macedonia,MKD,Upper middle income,Europe & Central Asia,Europe,1.11,2057679,10.2,20988.3258,26.02552399,23.29704164
Northern Mariana Islands,MNP,High income,East Asia & Pacific,Western Pacific,0.86,49551,20.5,1015.7955,1.25958642,0.87358413
Norway,NOR,High income,Europe & Central Asia,Europe,1.11,5457127,10.4,56754.1208,70.37510979,62.99707409
