Country Name,Income Group,WHO Region ,population total 2022,"Birth rate, crude per 1000 2021",Expected births,Expected number of clubfoot cases - 1.24,Expected number of clubfoot cases - regional 
Bahrain,High income,Eastern Mediterranean,1472233,11.926,17557.85076,21.77173494,20.71826389
Barbados,High income,Americas,281635,10.832,3050.67032,3.782831197,3.477764165
Belgium,High income,Europe,11685814,10.2,119195.3028,147.8021755,132.3067861
Bermuda,High income,Americas,63532,7.7,489.1964,0.606603536,0.557683896
Brunei Darussalam,High income,Western Pacific,449002,13.8,6196.2276,7.683322224,5.328755736
Canada,High income,Americas,38929902,9.6,373727.0592,463.4215534,426.0488475
Cayman Islands,High income,Americas,68706,12.4,851.9544,1.056423456,0.971228016
Channel Islands,High income,Europe,174079,10.11680362,1761.123058,2.183792592,1.954846594
Chile,High income,Americas,19603733,11.788,231088.8046,286.5501177,263.4412372
Croatia,High income,Europe,3855600,9.4,36242.64,44.9408736,40.2293304
Curacao,High income,Americas,149996,8.6,1289.9656,1.599557344,1.470560784
Cyprus,High income,Europe,1251488,10.313,12906.59574,16.00417872,14.32632128
Czechia,High income,Europe,10672118,10.6,113124.4508,140.274319,125.5681404
Denmark,High income,Europe,5903037,10.8,63752.7996,79.0534715,70.76560756
Estonia,High income,Europe,1348840,10,13488.4,16.725616,14.972124
Faroe Islands,High income,Europe,53090,12.8,679.552,0.84264448,0.75430272
Finland,High income,Europe,5556106,9,50004.954,62.00614296,55.50549894
France,High income,Europe,67971311,10.9,740887.2899,918.7002395,822.3848918
French Polynesia,High income,Western Pacific,306279,12.759,3907.813761,4.845689064,3.360719834
Germany,High income,Europe,83797985,9.6,804460.656,997.5312134,892.9513282
Greece,High income,Europe,10426919,8,83415.352,103.4350365,92.59104072
Greenland,High income,Americas,56661,13.4,759.2574,0.941479176,0.865553436
Guam,High income,Western Pacific,171774,16.376,2812.971024,3.48808407,2.419155081
"Hong Kong SAR, China",High income,Americas,7346100,5,36730.5,45.54582,41.87277
Hungary,High income,Europe,9643048,9.7,93537.5656,115.9865813,103.8266978
Iceland,High income,Europe,382003,13.1,5004.2393,6.205256732,5.554705623
Ireland,High income,Europe,5127170,11.6,59475.172,73.74921328,66.01744092
Israel,High income,Europe,9557500,19.7,188282.75,233.47061,208.9938525
Italy,High income,Europe,58940425,6.8,400794.89,496.9856636,444.8823279
